"prefecture", "number", "city", "latitude", "longtitude" 
"北海道", "1", "札幌市", "43.06417", "141.34694"
"青森県", "2", "青森市", "40.82444", "140.74"
"岩手県", "3", "盛岡市", "39.70361", "141.1525"
"宮城県", "4", "仙台市", "38.26889", "140.87194"
"秋田県", "5", "秋田市", "39.71861", "140.1025"
"山形県", "6", "山形市", "38.24056", "140.36333"
"福島県", "7", "福島市", "37.75", "140.46778"
"茨城県", "8", "水戸市", "36.34139", "140.44667"
"栃木県", "9", "宇都宮市", "36.56583", "139.88361"
"群馬県", "10", "前橋市", "36.39111", "139.06083"
"埼玉県", "11", "さいたま市", "35.85694", "139.64889"
"千葉県", "12", "千葉市", "35.60472", "140.12333"
"東京都", "13", "新宿区", "35.68944", "139.69167"
"神奈川県", "14", "横浜市", "35.44778", "139.6425"
"新潟県", "15", "新潟市", "37.90222", "139.02361"
"富山県", "16", "富山市", "36.69528", "137.21139"
"石川県", "17", "金沢市", "36.59444", "136.62556"
"福井県", "18", "福井市", "36.06528", "136.22194"
"山梨県", "19", "甲府市", "35.66389", "138.56833"
"長野県", "20", "長野市", "36.65139", "138.18111"
"岐阜県", "21", "岐阜市", "35.39111", "136.72222"
"静岡県", "22", "静岡市", "34.97694", "138.38306"
"愛知県", "23", "名古屋市", "35.18028", "136.90667"
"三重県", "24", "津市", "34.73028", "136.50861"
"滋賀県", "25", "大津市", "35.00444", "135.86833"
"京都府", "26", "京都市", "35.02139", "135.75556"
"大阪府", "27", "大阪市", "34.68639", "135.52"
"兵庫県", "28", "神戸市", "34.69139", "135.18306"
"奈良県", "29", "奈良市", "34.68528", "135.83278"
"和歌山県", "30", "和歌山市", "34.22611", "135.1675"
"鳥取県", "31", "鳥取市", "35.50361", "134.23833"
"島根県", "32", "松江市", "35.47222", "133.05056"
"岡山県", "33", "岡山市", "34.66167", "133.935"
"広島県", "34", "広島市", "34.39639", "132.45944"
"山口県", "35", "山口市", "34.18583", "131.47139"
"徳島県", "36", "徳島市", "34.06583", "134.55944"
"香川県", "37", "高松市", "34.34028", "134.04333"
"愛媛県", "38", "松山市", "33.84167", "132.76611"
"高知県", "39", "高知市", "33.55972", "133.53111"
"福岡県", "40", "福岡市", "33.60639", "130.41806"
"佐賀県", "41", "佐賀市", "33.24944", "130.29889"
"長崎県", "42", "長崎市", "32.74472", "129.87361"
"熊本県", "43", "熊本市", "32.78972", "130.74167"
"大分県", "44", "大分市", "33.23806", "131.6125"
"宮崎県", "45", "宮崎市", "31.91111", "131.42389"
"鹿児島県, "46", "鹿児島市", "31.56028", "130.55806"
"沖縄県", "47", "那覇市", "26.2125" , "127.68111"
"その他,", "0",
